Time;Monday;Tuesday;Wednesday;Tuesday;Friday
09:00-10:00;PHYS101.3,11;MATH151.11 + CHEM101.1;AFE157.14;MATH151.6 + CHEM101.4;;
10:00-11:00;PHYS101.3,11;MATH151.11 + CHEM101.1;AFE157.14;MATH151.6 + CHEM101.4;;
11:00-12:00;;MATH151.6 + CHEM101.4;PHYS101.3;MATH151.11 + CHEM101.1;;
12:00-13:00;;MATH151.6 + CHEM101.4;PHYS101.3;MATH151.11 + CHEM101.1;CSE 101;
13:00-14:00;;;CSE 101;;CSE 101;
14:00-15:00;CHEM101.1;AFE157.9;PHYS101.3,11;AFE157.9;AFE157.14;
15:00-16:00;CHEM101.1;AFE157.9;PHYS101.3,11;AFE157.9;AFE157.14;
16:00-17:00;CHEM101.4 + MATH151.6;CSE 101.L;PHYS101.11 + MATH151.11;;EXAM;
17:00-18:00;CHEM101.4 + MATH151.6;CSE 101.L;PHYS101.11 + MATH151.11;;EXAM;
18:00-19:00;;;;;;
