Ders;Sec;Verecek öð. Üye/Görevlisi;Ders Saati;# of Lab;Lab H;Lab Parallel;Lecture Parakllel;PS;Dönem;blok
CSE 101;1;Prof.Dr. Semih Bilgen;3;3;2;0;0;0;1;0
CSE 114;1;Doc.Dr. Emin Erkan Korkmaz;3;1;3;0;0;0;2;0
CSE 211;1;Ogr. Gor. Ayse Kucukyilmaz;3;2;3;1;0;0;3;0
CSE 221;1;Ogr. Gor. Mustafa Bulent Mutluoglu;3;1;2;0;0;0;3;0
CSE 232;1;Y.Doc.Dr. Esin Onbasioglu;3;1;2;0;0;0;4;0
CSE 311;1;Doc.Dr. Sezer Goren Ugurdag;2;0;0;0;0;1;5;0
CSE 351;1;Doc.Dr. Gurhan Kucuk;2;1;0;0;0;1;5;0
CSE 323;1;Y.Doc.Dr. Esin Onbasioglu;3;0;0;0;0;0;5;0
CSE 331;1;Prof. Dr. Sebnem Baydere;3;2;2;0;0;0;6;0
CSE 343;1;Y.Doc.Dr. Dionysis Goularas;2;2;2;1;0;0;6;0
CSE 421;1;Doc.Dr. Sezer Goren Ugurdag;2;1;2;0;0;0;7;0
CSE 471;1;Y.Doc.Dr. Tacha Serif;3;2;2;0;0;0;7;0
CSE 426;1;Y.Doc.Dr. Dionysis Goularas;3;0;0;0;0;0;7;0
CSE 426;1;Y.Doc.Dr. Dionysis Goularas;3;0;0;0;0;0;8;0
CSE 439;1;Y.Doc.Dr. Onur Demir;3;0;0;0;0;0;7;0
CSE 439;1;Y.Doc.Dr. Onur Demir;3;0;0;0;0;0;8;0
CSE 457;1;Doc.Dr. Gurhan Kucuk;3;0;0;0;0;0;7;0
CSE 457;1;Doc.Dr. Gurhan Kucuk;3;0;0;0;0;0;8;0
CSE 483;1;Y.Doc.Dr. Esin Onbasioglu;3;0;0;0;0;0;7;0
CSE 483;1;Y.Doc.Dr. Esin Onbasioglu;3;0;0;0;0;0;8;0
