Ders;Verecek öð. Üye/Görevlisi
CSE 101;Prof.Dr. Semih Bilgen
CSE 114-1;Öðr. Gör. Mustafa BülentMutluoðlu
CSE 114-2;Doç.Dr. Emin Erkan Korkmaz
CSE 211;Y.Doç.Dr. Onur Demir
CSE 212;Y.Doç.Dr. Tacha Serif
CSE 221;Öðr. Gör. Mustafa BülentMutluoðlu
CSE 222;Doç.Dr. Sezer Gören Uðurdað
CSE 232;Y.Doç.Dr. Esin Onbaþýoðlu
CSE 323;Y.Doç.Dr. Esin Onbaþýoðlu
CSE 326;Doç.Dr. Sezer Gören Uðurdað
CSE 331;Prof. Dr. Þebnem Baydere
CSE 344;Y.Doç.Dr. Ömer Birol Aygün
CSE 348;Y.Doç.Dr. Dionysis Goularas
CSE 351;Doç.Dr. Gürhan Küçük
CSE 354;Doç.Dr. Emin Erkan Korkmaz
CSE 421;Doç.Dr. Sezer Gören Uðurdað
CSE 426;Y.Doç.Dr. Dionysis Goularas
CSE 439;Y.Doç.Dr. Onur Demir
CSE 457;Doç.Dr. Gürhan Küçük
CSE 471;Y.Doç.Dr. Tacha Serif
CSE 483;Y.Doç.Dr. Esin Onbaþýoðlu
