30;B412;MONDAY;TUESDAY;WEDNESDAY;THURSDAY;FRIDAY;30;B411;MONDAY;TUESDAY;WEDNESDAY;THURSDAY;FRIDAY
1;9:00;;;ES272.3;ES272.2;;1;9:00;;;ES115.1;;ES161.4
;9:50;;;;;;;9:50;;;;;
2;10:00;;;ES272.3;ES272.2;;2;10:00;;;ES115.1;;ES161.4
;10:50;;;;;;;10:50;;;;;
3;11:00;ES161.1;;ES272.4;ES272.1;;3;11:00;;;ES115.2;;ES161.4
;11:50;;;;;;;11:50;;;;;
4;12:00;ES161.1;;ES272.4;ES272.1;;4;12:00;;;ES115.2;;
;12:50;;;;;;;12:50;;;;;
5;13:00;ES161.1;;;;;5;13:00;;;;;ES161.5
;13:50;;;;;;;13:50;;;;;
6;14:00;;ES161.3;ES117.3;ES117.5;ES117.1;6;14:00;;;ES112.1;;ES161.5
;14:50;;;;;;;14:50;;;;;
7;15:00;ES161.2;ES161.3;ES117.3;ES117.5;ES117.1;7;15:00;;;ES112.1;;ES161.5
;15:50;;;;;;;15:50;;;;;
8;16:00;ES161.2;ES161.3;;ES117.4;;8;16:00;;;ES117.2;;
;16:50;;;;;;;16:50;;;;;
9;17:00;ES161.2;;;ES117.4;;9;17:00;;;ES117.2;;
;17:50;;;;;;;17:50;;;;;
10;18:00;;;;;;10;18:00;;;;;
;18:50;;;;;;;18:50;;;;;
20;B414;MONDAY;TUESDAY;WEDNESDAY;THURSDAY;FRIDAY;30;B410;MONDAY;TUESDAY;WEDNESDAY;THURSDAY;FRIDAY
1;9:00;;;ES311;;;1;9:00;;;ES112.4;ES112.5;
;9:50;;;;;;;9:50;;;;;
2;10:00;;;ES311;;;2;10:00;;;ES112.4;ES112.5;
;10:50;;;;;;;10:50;;;;;
3;11:00;;;;;;3;11:00;;;;;
;11:50;;;;;;;11:50;;;;;
4;12:00;;;;;;4;12:00;;;;;
;12:50;;;;;;;12:50;;;;;
5;13:00;;;;;;5;13:00;;;;;
;13:50;;;;;;;13:50;;;;;
6;14:00;;;;;;6;14:00;;;ES112.3;;
;14:50;;;;;;;14:50;;;;;
7;15:00;;;;;;7;15:00;;;ES112.3;;
;15:50;;;;;;;15:50;;;;;
8;16:00;;;;;;8;16:00;;;ES112.2;;
;16:50;;;;;;;16:50;;;;;
9;17:00;;;;;;9;17:00;;;ES112.2;;
;17:50;;;;;;;17:50;;;;;
10;18:00;;;;;;10;18:00;;;;;
;18:50;;;;;;;18:50;;;;;
